14:39:46.827;;;;;
14:39:47.390;;;;;
14:39:49.026;;;;;
14:39:50.696;;;;;
Rit 1, 2025-05-07, 14:39:53;;;;;
14:39:54.337;;;;;
14:39:55.180;;;;;
14:39:56.304;;;;;
14:39:57.013;;;;;
14:39:58.899;;;;;
14:39:58.624;;;;;
;;;;;
10:22:45.001;;;;;
10:22:46.486;;;;;
Rit 1, 2025-05-09, 10:38:17;;;;;
10:38:51.928;;;;;
10:38:54.706;;;;;
10:38:56.400;;;;;
10:38:59.100;;;;;
;;;;;
10:40:38.928;;;;;
10:41:57.731;;;;;
Rit 1, 2025-05-09, 10:48:07;;;;;
10:49:00.511;;;;;
10:49:02.557;;;;;
10:49:04.594;;;;;
10:49:06.552;;;;;
;;;;;
10:50:38.185;;;;;
10:50:40.274;;;;;
10:50:42.311;;;;;
10:50:44.220;;;;;
10:52:06.118;;;;;
10:52:12.971;;;;;
10:52:18.055;;;;;
10:52:24.775;;;;;
Rit 2, 2025-05-09, 10:54:12;;;;;
10:54:26.757;;;;;
10:54:28.873;;;;;
10:54:30.910;;;;;
10:54:32.814;;;;;
;;;;;
Rit 3, 2025-05-09, 10:57:54;;;;;
10:58:11.592;;;;;
10:58:13.294;;;;;
10:58:14.934;;;;;
10:58:16.483;;;;;
;;;;;
Rit 25, 2025-05-09, 11:01:25;;;;;
11:01:43.190;;;;36,3657;
11:01:44.605;;;1,415;1,4128;0,0022
11:01:45.956;;;1,351;1,3508;0,0002
11:01:47.251;;;1,295;1,2867;0,0083
;;;;;
Rit 26, 2025-05-09, 11:03:09;;;;;
11:03:22.136;;;;17,7555;
11:03:24.351;;;1,215;1,2164;-0,0014
11:03:25.528;;;1,177;1,1627;0,0143
11:03:26.614;;;1,086;1,1073;-0,0213
;;;;;
Rit 27, 2025-05-09, 11:05:23;;;;;
11:05:42.553;;;;27,8913;
11:05:43.635;;;1,082;1,0681;0,0139
11:05:44.653;;;1,018;1,0252;-0,0072
11:05:45.654;;;;;0
